Step,Time(s),FR_contact,FL_contact,RR_contact,RL_contact,FR_force(N),FL_force(N),RR_force(N),RL_force(N)
235,4.7,0,0,0,0,0.0,0.0,0.0,0.0
236,4.72,1,0,0,0,107.68635559082031,0.0,0.0,0.0
237,4.74,1,0,1,1,47.43959045410156,0.0,33.138607025146484,107.962890625
238,4.76,1,0,1,1,23.34794807434082,0.0,13.346681594848633,66.74583435058594
239,4.78,0,0,0,1,0.0,0.0,0.0,38.30213165283203
240,4.8,0,0,0,1,0.0,0.0,0.0,39.32521438598633
241,4.82,0,0,0,0,0.0,0.0,0.0,0.0
242,4.84,0,0,0,0,0.0,0.0,0.0,0.0
243,4.86,0,0,0,0,0.0,0.0,0.0,0.0
244,4.88,1,0,0,1,147.0447235107422,0.0,0.0,136.55384826660156
245,4.9,1,0,1,1,32.176063537597656,0.0,9.208971977233887,59.76835632324219
246,4.92,1,0,0,1,31.16598129272461,0.0,0.0,60.43318176269531
247,4.94,1,0,0,1,21.01386260986328,0.0,0.0,11.871513366699219
248,4.96,0,0,0,0,0.0,0.0,0.0,0.0
249,4.98,0,0,0,0,0.0,0.0,0.0,0.0
250,5.0,0,0,0,0,0.0,0.0,0.0,0.0
251,5.0200000000000005,1,1,0,0,277.21759033203125,1.1296218633651733,0.0,0.0
252,5.04,1,0,0,0,127.2880859375,0.0,0.0,0.0
253,5.0600000000000005,1,0,0,0,102.0216064453125,0.0,0.0,0.0
254,5.08,1,0,0,1,9.395831108093262,0.0,0.0,44.273902893066406
255,5.1000000000000005,0,0,0,1,0.0,0.0,0.0,58.15184020996094
256,5.12,0,0,0,1,0.0,0.0,0.0,21.71392822265625
257,5.14,0,0,0,0,0.0,0.0,0.0,0.0
258,5.16,0,0,0,0,0.0,0.0,0.0,0.0
259,5.18,1,1,0,0,116.22441101074219,0.6149538159370422,0.0,0.0
260,5.2,1,0,0,0,117.201416015625,0.0,0.0,0.0
261,5.22,1,0,0,1,65.12882995605469,0.0,0.0,194.20574951171875
262,5.24,1,0,0,1,9.375436782836914,0.0,0.0,45.006134033203125
