Step,vx (m/s),vy (m/s),vz (m/s),speed_xy (m/s)
31,1.2025972604751587,0.02793668583035469,-0.33141353726387024,1.2029217053979617
32,1.127666711807251,-0.010654743760824203,-0.3690730035305023,1.1277170462854529
33,1.0470658540725708,0.05493464693427086,-0.3241857588291168,1.048505945714432
34,0.9952237010002136,0.06453108787536621,-0.10179893672466278,0.9973136298752469
35,0.8977283835411072,-0.01228698343038559,0.16348248720169067,0.8978124640353061
36,0.8012202978134155,0.0038788835518062115,0.25517410039901733,0.8012296870222837
37,0.6925205588340759,0.02156607061624527,0.4475437104701996,0.6928562764453287
38,0.7233665585517883,-0.042331263422966,0.7814100384712219,0.724604108388879
39,0.7956283688545227,-0.18338921666145325,0.19364169239997864,0.81649011391064
40,0.8968311548233032,-0.11903242766857147,0.11587225645780563,0.9046959926397228
41,0.9072046279907227,-0.07997279614210129,-0.05962330102920532,0.9107227268332396
42,1.0118012428283691,-0.0656614825129509,-0.03939775750041008,1.013929576092359
43,1.0624195337295532,-0.025390278548002243,-0.010900848545134068,1.0627228857490867
44,1.0597620010375977,0.00728980265557766,-0.03818850964307785,1.0597870729849324
45,1.1151041984558105,0.021341420710086823,-0.08474113047122955,1.1153084011392098
46,1.1966363191604614,0.029975634068250656,-0.1894073337316513,1.1970117037738985
47,1.227811336517334,-0.014020252972841263,-0.27624422311782837,1.2278913818306179
48,1.20020592212677,-0.013756848871707916,-0.332048624753952,1.2002847605460336
49,1.1360816955566406,-0.06383433938026428,-0.38989588618278503,1.13787364934028
50,1.0296623706817627,0.018123023211956024,-0.27414238452911377,1.0298218494323805
51,0.9945515990257263,0.03585185110569,-0.08783037960529327,0.9951975875937068
52,0.9095331430435181,-0.029603462666273117,0.1618993580341339,0.9100147819109611
53,0.8024710416793823,0.000463973730802536,0.25390663743019104,0.802471175809833
54,0.6905145645141602,0.018314866349101067,0.4665035903453827,0.6907574090341454
55,0.7278099656105042,-0.08220431208610535,0.7249749302864075,0.7324376389615113
56,0.8282679319381714,-0.17811040580272675,0.17406447231769562,0.8472019143818947
57,0.9123139977455139,-0.11424974352121353,0.07224666327238083,0.919439956917832
58,0.9124107956886292,-0.07782607525587082,-0.06489860266447067,0.9157239529895949
59,1.0331661701202393,-0.0616338774561882,-0.03505951538681984,1.035002932329763
60,1.0713093280792236,-0.01849542371928692,-0.008524429053068161,1.0714689716123904
61,1.0634456872940063,0.014262871816754341,-0.02743932604789734,1.0635413293975382
62,1.1250693798065186,0.022292226552963257,-0.07627595216035843,1.1252902082320422
63,1.2035633325576782,0.03185165673494339,-0.18438589572906494,1.2039847272761
64,1.2330368757247925,-0.012353290803730488,-0.2764042019844055,1.2330987554493917
65,1.1965394020080566,-0.013918917626142502,-0.330780953168869,1.1966203561805562
66,1.138595700263977,-0.06309404969215393,-0.3922622501850128,1.1403425045863074
67,1.023895025253296,0.01536052767187357,-0.2578015625476837,1.0240102384980365
68,0.993645191192627,0.03571561351418495,-0.08841286599636078,0.9942868655619096
69,0.910625696182251,-0.02569238282740116,0.1554994434118271,0.9109880663777978
70,0.8020568490028381,0.005561359226703644,0.25209492444992065,0.8020761296465628
71,0.6846349835395813,0.020258137956261635,0.46950969099998474,0.6849346339904981
72,0.7227105498313904,-0.08418438583612442,0.7079827785491943,0.7275971066848713
73,0.830481767654419,-0.17181913554668427,0.1702754944562912,0.8480694439410125
74,0.9097773432731628,-0.10853636264801025,0.06368795037269592,0.9162286594240735
75,0.9171549081802368,-0.07250668108463287,-0.07543808966875076,0.9200164913744793
76,1.0322617292404175,-0.05821260064840317,-0.038752708584070206,1.0339018253822108
77,1.0733399391174316,-0.017870940268039703,-0.011695479974150658,1.0734887029730102
78,1.0662041902542114,0.013244559057056904,-0.029923487454652786,1.0662864500969027
79,1.1267035007476807,0.020465388894081116,-0.07826729863882065,1.1268893515956502
80,1.2063522338867188,0.02822894975543022,-0.1864709109067917,1.2066824709954858
