Step,vx (m/s),vy (m/s),vz (m/s),speed_xy (m/s)
65,0.8510908484458923,0.07348787039518356,0.23838214576244354,0.8542576305796561
66,0.9081952571868896,0.07832492142915726,-0.01850254274904728,0.9115664641119946
67,0.9820318818092346,0.09481209516525269,-0.08326706290245056,0.9865981706243994
68,1.0044077634811401,0.09013636410236359,-0.08552546799182892,1.0084441082552764
69,1.0469187498092651,0.08470515161752701,0.006164118647575378,1.050339864716532
70,1.0979098081588745,0.09768728166818619,0.03962240368127823,1.1022471373749065
71,1.137533187866211,0.09903338551521301,0.006521774455904961,1.1418359623622252
72,1.1883864402770996,0.09832775592803955,-0.13017638027668,1.1924473485317164
73,1.1596148014068604,0.12391447275876999,-0.34338274598121643,1.166216654057451
74,1.0348966121673584,0.17754888534545898,-0.3738892674446106,1.0500164782339803
75,1.0055463314056396,0.07171842455863953,-0.18569494783878326,1.0081006681004203
76,1.0710331201553345,0.11692747473716736,-0.25098785758018494,1.0773968529831903
77,0.9645701050758362,0.08627298474311829,0.07595989108085632,0.9684206294283987
78,0.8768008351325989,0.06360561400651932,0.27945876121520996,0.8791048735062098
79,0.8723973631858826,0.06827336549758911,0.7979558110237122,0.8750648043031145
80,0.856415867805481,0.07599963247776031,0.2402280867099762,0.8597814156899238
81,0.9117939472198486,0.08117357641458511,-0.015459734946489334,0.915400104705416
