lateral_hori_stiffness,lateral_verti_stiffness,diagonal_stiffness,total_twist_deg,twist_0_1_deg,twist_1_2_deg
100,3856,5298,16.92578833801109,8.44760453433911,8.478183803671977
100,3856,6210,14.440749953084808,7.204111859021395,7.236638094063416
100,3856,7278,12.323500887008478,6.144499392677514,6.179001494330964
100,3856,8531,10.51419420121181,5.238937769777385,5.275256431434427
100,3856,10000,8.968490657458979,4.465270853735445,4.5032198037235345
100,4520,100,71.83668003781125,34.815883326768265,37.02079671104298
100,4520,117,71.75328467903437,34.735006532954095,37.01827814608026
100,4520,137,71.62130925616653,34.63356113508304,36.987748121083484
100,4520,161,71.10015413329661,34.25848724109814,36.841666892198475
100,4520,188,70.55674195749718,34.24128305148551,36.31545890601168
100,4520,221,70.22411550297937,34.33292744613937,35.89118805684001
100,4520,259,69.98698584096269,34.38084993960592,35.606135901356765
100,4520,303,69.8152559794897,34.41085411973114,35.40440185975857
100,4520,356,69.69092957282375,34.42850101547037,35.26242855735339
100,4520,417,69.59559630818706,34.4331083823113,35.16248792587575
100,4520,489,69.51175346622226,34.4285591822916,35.08319428393066
100,4520,573,69.43006495812226,34.464810135206285,34.965254822915966
100,4520,672,69.34424937350886,34.48762005490291,34.85662931860595
100,4520,788,69.25476794097996,34.49591032333836,34.7588576176416
100,4520,923,69.21606131483739,34.52376322650121,34.69229808833618
100,4520,1082,69.1771686050653,34.547568946914055,34.62959965815126
100,4520,1268,68.90754045865175,34.43331497261173,34.47422548604002
100,4520,1487,61.009646816400696,30.469666201954883,30.539980614445813
100,4520,1743,52.14579733494847,26.05503067430242,26.090766660646054
100,4520,2043,44.27186069962723,22.12521648347265,22.146644216154584
100,4520,2395,37.55083182556014,18.76682406908129,18.784007756478843
100,4520,2807,31.89994262867097,15.941682236551125,15.958260392119842
100,4520,3290,27.144371168385902,13.563583320700545,13.58078784768536
100,4520,3856,23.132092406293097,11.556899668563176,11.575192737729921
100,4520,4520,19.731087741118408,9.855778431286701,9.875309309831705
100,4520,5298,16.842476775196126,8.410833878493092,8.431642896703034
100,4520,6210,14.381297438428577,7.179588753370759,7.2017086850578185
100,4520,7278,12.282127137901407,6.129341909608573,6.152785228292834
100,4520,8531,10.486205764346977,5.230743921705437,5.25546184264154
100,4520,10000,8.950123589991554,4.462115037860868,4.488008552130687
100,5298,100,71.55418212464558,34.79615372831016,36.75802839633543
100,5298,117,71.47838009697088,34.726811971342926,36.751568125627955
100,5298,137,71.3588615581236,34.63518370694576,36.723677851177854
100,5298,161,70.86842401201633,34.274880103544334,36.593543908472
100,5298,188,70.33084765770053,34.16739612671358,36.16345153098697
100,5298,221,70.00572240919719,34.25991806304285,35.74580434615433
100,5298,259,69.77151260947471,34.30838530225695,35.46312730721776
100,5298,303,69.59841529949466,34.33701063818279,35.26140466131187
100,5298,356,69.46811742359779,34.35136666302701,35.116750760570774
100,5298,417,69.36465142851459,34.351152889543194,35.01349853897139
100,5298,489,69.26912032741558,34.33964448434201,34.92947584307357
100,5298,573,69.17424247836604,34.34468400016595,34.82955847820009
100,5298,672,69.07286459572596,34.35729816501514,34.71556643071082
100,5298,788,68.96854582823985,34.355997029091114,34.61254879914874
100,5298,923,68.91981998788512,34.376967619863954,34.54285236802116
100,5298,1082,68.85841102431894,34.387247430265106,34.47116359405384
