lateral_hori_stiffness,lateral_verti_stiffness,diagonal_stiffness,total_twist_deg,twist_0_1_deg,twist_1_2_deg
500,632,5220,17.781333320503972,8.720870949102745,9.06046237140123
500,632,5870,15.753473892681109,7.703991950579714,8.049481942101398
500,632,6600,13.973473735514899,6.81092464296438,7.1625490925505195
500,632,7421,12.406094937266394,6.024136122271512,6.3819588149948805
500,632,8345,11.023480250288479,5.329755367452615,5.693724882835865
500,632,9383,9.804996934052085,4.717510802907216,5.087486131144869
500,632,10551,8.728617522140931,4.176408880802689,4.552208641338242
500,632,11864,7.778252473665747,3.698424344283787,4.0798281293819585
500,632,13340,6.938753020621386,3.2759931548024173,3.6627598658189684
500,632,15000,6.196596224932146,2.9023583900153533,3.2942378349167933
500,711,500,98.24996669935177,49.214338695922955,49.03562800342882
500,711,562,96.41854630694634,48.75820681516872,47.66033949177761
500,711,632,94.52781354583746,48.28275040361917,46.245063142218285
500,711,711,92.57617323764153,47.769688821933435,44.8064844157081
500,711,799,90.63900210565131,46.781346573146315,43.85765553250499
500,711,899,90.23991857818237,46.60395159868728,43.63596697949508
500,711,1011,89.68499747605149,46.46903070906461,43.215966766986874
500,711,1136,86.73636150722375,45.85837613970044,40.87798536752332
500,711,1278,77.56669308207846,39.49631596608214,38.070377115996315
500,711,1437,75.8659587225635,38.070479210063354,37.79547951250016
500,711,1616,71.88209412875403,35.64282107368247,36.239273055071564
500,711,1817,59.74138814158663,29.617268838586085,30.12411930300054
500,711,2043,50.745386305251955,25.195640108936583,25.549746196315372
500,711,2297,43.73118103791954,21.72065924910037,22.010521788819172
500,711,2583,38.01222176153928,18.875003488974812,19.137218272564464
500,711,2904,33.24016755480548,16.4947036589419,16.74546389586358
500,711,3265,29.181485630222692,14.467215967853848,14.714269662368844
500,711,3672,25.68275566227216,12.717706375696388,12.965049286575775
500,711,4129,22.65561660057264,11.202902448878557,11.452714151694082
500,711,4642,20.02148767851453,9.884002712672505,10.137484965842022
500,711,5220,17.711715888088797,8.726942772120157,8.984773115968638
500,711,5870,15.684829889312372,7.71115546740359,7.97367442190878
500,711,6600,13.904496004462787,6.818577573340576,7.085918431122211
500,711,7421,12.33589653340682,6.031859064788784,6.304037468618034
500,711,8345,10.951476659224761,5.337261549468746,5.6142151097560165
500,711,9383,9.730830640528232,4.724612666492248,5.006217974035984
500,711,10551,8.652091646265262,4.182991635150857,4.4691000111144055
500,711,11864,7.699292213206934,3.704427539865963,3.9948646733409703
500,711,13340,6.857369176992209,3.2813953659673443,3.5759738110248636
500,711,15000,6.112858297265753,2.907165511702445,3.2056927855633077
500,799,500,96.424548202629,48.45193704592226,47.97261115670674
500,799,562,94.76312498363241,48.044731254964496,46.71839372866792
500,799,632,93.04016907628746,47.6172078428632,45.42296123342426
500,799,711,91.245743758588,47.10992412256943,44.135819636018574
500,799,799,90.55613505020203,46.721991740973145,43.834143309228885
500,799,899,90.2553723658286,46.58030705053987,43.67506531528872
500,799,1011,89.77080315746794,46.48093384965471,43.28986930781323
500,799,1136,79.72277733282307,41.325976818200836,38.39680051462223
500,799,1278,76.60288843091348,38.752576766188746,37.850311664724735
500,799,1437,75.29159253208903,37.7039778948675,37.58761463722153
500,799,1616,70.86565527801629,35.116270723173244,35.749384554843054
500,799,1817,59.12411057058309,29.370087008115654,29.754023562467438
500,799,2043,50.39208521220359,25.06270029542786,25.32938491677573
500,799,2297,43.50540601636802,21.643791936290928,21.86161408007709
500,799,2583,37.85648742848769,18.829547065225295,19.026940363262394
500,799,2904,33.126147908296566,16.468390982525886,16.65775692577068
500,799,3265,29.09358456352075,14.453218126351723,14.640366437169028
500,799,3672,25.611563494928514,12.711854998861039,12.899708496067477
500,799,4129,22.59502179423874,11.202460132158459,11.392561662080283
500,799,4642,19.967406681696417,9.887114130758926,10.080292550937491
500,799,5220,17.66133843727047,8.732318486821862,8.929019950448605
500,799,5870,15.636179334637417,7.717872124305956,7.918307210331463
500,799,6600,13.856186731959431,6.825975911412664,7.030210820546765
500,799,7421,12.286966584034039,6.039473095082982,6.247493488951055
500,799,8345,10.901273287997679,5.344766648642681,5.556506639354997
500,799,9383,9.678933166294273,4.731790523403486,4.947142642890787
500,799,10551,8.598247783135033,4.189703048470055,4.408544734664978
500,799,11864,7.643378338377333,3.710592904941601,3.9327854334357326
500,799,13340,6.7993548306764815,3.2869785987192635,3.5123762319572185
500,799,15000,6.052777490137843,2.9121615127563714,3.140615977381472
500,899,500,94.72670395187271,47.70772428213817,47.01897966973453
500,899,562,93.21074334738644,47.34346681406758,45.867276533318865
500,899,632,91.63303209296267,46.95778839463788,44.675243698324785
500,899,711,90.6866275207635,46.81356391179246,43.87306360897104
500,899,799,90.46272023509064,46.65300748754446,43.80971274754619
500,899,899,90.2585798535324,46.53691778246638,43.72166207106602
500,899,1011,89.73801424411482,46.53242062847186,43.205593615642954
500,899,1136,77.42006241447555,39.49767824234091,37.92238417213465
500,899,1278,75.7451750745331,38.15055481966492,37.59462025486817
500,899,1437,74.70434599617725,37.32443903159794,37.37990696457931
500,899,1616,69.64675503410336,34.57748890986948,35.06926612423389
500,899,1817,58.51211995961118,29.10991696247699,29.402202997134186
500,899,2043,50.03853954093884,24.918878327930628,25.11966121300821
500,899,2297,43.28078052660238,21.55865944599085,21.722121080611526
500,899,2583,37.70426979284164,18.777945746532147,18.9263240463095
500,899,2904,33.01781835821892,16.43749228679539,16.580326071423524
500,899,3265,29.013225192884896,14.435792159675623,14.577433033209276
500,899,3672,25.549533987391122,12.703474652714732,12.846059334676388
500,899,4129,22.544990206639042,11.200187431992678,11.344802774646368
500,899,4642,19.925079826162026,9.88893981513587,10.036140011026152
500,899,5220,17.62373582245772,8.736834890137885,8.886900932319838
